0;-690.848;-1551.31;-660.653;-806.064;886.557;-730.54;
0.1;-761.06;-1455.6;-732.058;-593.15;1019.39;-696.993;
0.2;-808.66;-1349.17;-799.939;-355.825;1100.22;-660.091;
0.3;-831.826;-1237.44;-863.97;-106.604;1124.85;-620.011;
0.4;-830.022;-1126.12;-923.842;141.373;1092.06;-576.947;
0.5;-804.03;-1020.89;-979.267;375.028;1003.64;-531.105;
0.6;-755.907;-927.097;-1029.98;582.045;864.348;-482.707;
0.7;-688.877;-849.477;-1075.73;751.511;681.602;-431.985;
0.8;-607.16;-791.907;-1116.31;874.502;465.126;-379.184;
0.9;-515.749;-757.197;-1151.51;944.544;226.424;-324.558;
1;-420.147;-746.943;-1181.17;957.964;-21.8263;-268.369;
1.1;-326.075;-761.442;-1205.14;914.079;-266.444;-210.889;
1.2;-239.172;-799.676;-1223.31;815.232;-494.439;-152.393;
1.3;-164.693;-859.368;-1235.59;666.673;-693.702;-93.1637;
1.4;-107.238;-937.1;-1241.93;476.273;-853.638;-33.486;
1.5;-70.5027;-1028.49;-1242.28;254.118;-965.732;26.3529;
1.6;-57.0851;-1128.44;-1236.66;11.9697;-1023.99;86.065;
1.7;-68.35;-1231.39;-1225.08;-237.353;-1025.28;145.363;
1.8;-104.355;-1331.59;-1207.61;-480.652;-969.455;203.961;
1.9;-163.848;-1423.46;-1184.32;-705.047;-859.396;261.577;
2;-244.335;-1501.84;-1155.34;-898.654;-700.851;317.934;
2.1;-342.206;-1562.29;-1120.79;-1051.22;-502.125;372.761;
2.2;-452.933;-1601.27;-1080.85;-1154.64;-273.647;425.793;
2.3;-571.305;-1616.42;-1035.7;-1203.43;-27.4175;476.776;
2.4;-691.703;-1606.59;-985.567;-1194.98;223.626;525.464;
2.5;-808.399;-1571.97;-930.69;-1129.7;466.29;571.622;
2.6;-915.854;-1514.04;-871.334;-1010.99;687.824;615.028;
2.7;-1009.02;-1435.51;-807.783;-845.096;876.594;655.475;
2.8;-1083.58;-1340.15;-740.344;-640.736;1022.69;692.765;
2.9;-1136.24;-1232.65;-669.342;-408.666;1118.47;726.721;
3;-1164.8;-1118.31;-595.117;-161.104;1158.94;757.179;
3.1;-1168.37;-1002.78;-518.027;88.9157;1142.01;783.992;
3.2;-1147.37;-891.796;-438.444;328.228;1068.65;807.032;
3.3;-1103.51;-790.812;-356.75;544.236;942.799;826.186;
3.4;-1039.69;-704.77;-273.34;725.571;771.16;841.363;
3.5;-959.871;-637.808;-188.613;862.701;562.861;852.491;
3.6;-868.866;-593.055;-102.978;948.425;328.966;859.514;
3.7;-772.057;-572.457;-16.8479;978.259;81.8878;862.401;
3.8;-675.136;-576.681;69.3635;950.672;-165.264;861.136;
3.9;-583.795;-605.075;155.241;867.166;-399.376;855.726;
4;-503.427;-655.705;240.371;732.197;-608.025;846.196;
4.1;-438.839;-725.457;324.344;552.939;-780.132;832.594;
4.2;-394.004;-810.202;406.756;338.905;-906.55;814.983;
4.3;-371.843;-905.012;487.21;101.448;-980.543;793.449;
4.4;-374.078;-1004.42;565.319;-146.844;-998.147;768.096;
4.5;-401.135;-1102.72;640.706;-392.809;-958.374;739.046;
4.6;-452.126;-1194.25;713.009;-623.409;-863.27;706.438;
4.7;-524.894;-1273.69;781.88;-826.414;-717.8;670.43;
4.8;-616.125;-1336.37;846.988;-991.052;-529.593;631.194;
4.9;-721.528;-1378.51;908.018;-1108.58;-308.533;588.92;
5;-836.055;-1397.37;964.677;-1172.74;-66.2418;543.811;
5.1;-954.173;-1391.47;1016.69;-1180.08;184.539;496.084;
5.2;-1070.15;-1360.62;1063.81;-1130.18;430.618;445.97;
5.3;-1178.38;-1305.94;1105.82;-1025.61;659.051;393.708;
5.4;-1273.63;-1229.8;1142.49;-871.835;857.827;339.552;
5.5;-1351.37;-1135.71;1173.67;-676.933;1016.5;283.761;
5.6;-1407.98;-1028.12;1199.2;-451.138;1126.74;226.604;
5.7;-1440.96;-912.179;1218.96;-206.322;1182.77;168.356;
5.8;-1449.04;-793.478;1232.84;44.6437;1181.69;109.298;
5.9;-1432.26;-677.749;1240.8;288.559;1123.6;49.7132;
6;-1391.99;-570.562;1242.78;512.599;1011.63;-10.1104;
6.1;-1330.8;-477.03;1238.78;704.989;851.719;-69.8853;
6.2;-1252.39;-401.539;1228.81;855.626;652.377;-129.324;
6.3;-1161.34;-347.521;1212.93;956.612;424.174;-188.14;
6.4;-1062.91;-317.267;1191.21;1002.67;179.21;-246.05;
6.5;-962.723;-311.807;1163.76;991.434;-69.533;-302.776;
6.6;-866.515;-330.859;1130.71;923.551;-308.872;-358.045;
6.7;-779.788;-372.843;1092.21;802.667;-526.123;-411.59;
6.8;-707.541;-434.96;1048.46;635.229;-709.768;-463.154;
6.9;-654.003;-513.346;999.654;430.14;-850.065;-512.488;
7;-622.409;-603.272;946.041;198.294;-939.562;-559.355;
7.1;-614.829;-699.398;887.873;-48.0039;-973.49;-603.53;
7.2;-632.057;-796.049;825.432;-295.682;-950.016;-644.799;
7.3;-673.573;-887.519;759.017;-531.597;-870.34;-682.965;
7.4;-737.565;-968.374;688.948;-743.226;-738.629;-717.843;
7.5;-821.029;-1033.73;615.563;-919.329;-561.802;-749.266;
7.6;-919.928;-1079.53;539.215;-1050.54;-349.157;-777.082;
7.7;-1029.4;-1102.74;460.272;-1129.87;-111.888;-801.157;
7.8;-1144.02;-1101.51;379.112;-1153.06;137.512;-821.376;
7.9;-1258.09;-1075.27;296.128;-1118.81;385.906;-837.641;
