8.6;188.055;1027.1;315.531;10.6574;-102.671;-221.25
8.7;188.204;1018.02;292.664;-6.68935;-78.4153;-235.9
8.8;186.926;1011.53;268.388;-17.7904;-50.9082;-249.414
8.9;184.875;1007.89;242.821;-22.069;-21.6637;-261.728
9;182.748;1007.2;216.085;-19.3097;7.71206;-272.782
9.1;181.243;1009.39;188.308;-9.66894;35.6064;-282.523
9.2;181.027;1014.22;159.626;6.33245;60.4849;-290.904
9.3;182.694;1021.34;130.174;27.8372;80.9725;-297.885
9.4;186.74;1030.23;100.096;53.6967;95.9263;-303.431
9.5;193.533;1040.31;69.5367;82.5318;104.496;-307.517
9.6;203.295;1050.9;38.6423;112.805;106.167;-310.123
9.7;216.088;1061.31;7.56187;142.904;100.792;-311.236
9.8;231.816;1070.83;-23.555;171.223;88.5947;-310.851
9.9;250.223;1078.82;-54.5584;196.25;70.1579;-308.969
10;270.911;1084.68;-85.2993;216.647;46.3959;-305.601
10.1;293.361;1087.96;-115.629;231.319;18.5038;-300.761
10.2;316.957;1088.29;-145.403;239.475;-12.1051;-294.473
10.3;341.022;1085.5;-174.477;240.663;-43.8736;-286.768
10.4;364.854;1079.53;-202.711;234.804;-75.1832;-277.682
10.5;387.757;1070.53;-229.969;222.186;-104.44;-267.26
10.6;409.086;1058.76;-256.12;203.455;-130.156;-255.551
10.7;428.276;1044.66;-281.038;179.58;-151.034;-242.612
10.8;444.871;1028.75;-304.603;151.801;-166.028;-228.506
10.9;458.553;1011.68;-326.702;121.561;-174.405;-213.299
11;469.154;994.107;-347.229;90.4356;-175.781;-197.065
11.1;476.665;976.754;-366.084;60.0451;-170.14;-179.883
11.2;481.24;960.302;-383.177;31.9704;-157.839;-161.835
11.3;483.185;945.386;-398.425;7.6697;-139.583;-143.008
11.4;482.942;932.551;-411.755;-11.5988;-116.395;-123.493
11.5;481.067;922.229;-423.104;-24.8433;-89.5547;-103.383
11.6;478.198;914.713;-432.415;-31.3908;-60.5372;-82.7756
11.7;475.024;910.142;-439.645;-30.9223;-30.9309;-61.7697
11.8;472.247;908.493;-444.759;-23.4902;-2.35519;-40.4664
11.9;470.545;909.584;-447.732;-9.51518;23.6251;-18.9683
12;470.537;913.083;-448.55;10.2359;45.5826;2.62105
12.1;472.75;918.525;-447.208;34.6907;62.3027;24.1978
12.2;477.588;925.337;-443.714;62.5278;72.8476;45.6581
12.3;485.318;932.867;-438.084;92.2464;76.6062;66.8986
12.4;496.047;940.422;-430.345;122.246;73.3259;87.8171
12.5;509.723;947.301;-420.535;150.911;63.1262;108.313
12.6;526.133;952.832;-408.7;176.695;46.4925;128.287
12.7;544.919;956.412;-394.898;198.203;24.2503;147.644
12.8;565.592;957.532;-379.195;214.267;-2.47853;166.29
12.9;587.56;955.811;-361.667;224.005;-32.3345;184.136
13;610.162;951.011;-342.397;226.867;-63.7929;201.095
13.1;632.697;943.053;-321.48;222.667;-95.2438;217.086
