T,average energy,average magnetization,specific heat,susceptibility
2.1,-1.6625121,0.86911964,0.96693546,0.93831077
2.106,-1.656493,0.8655871,0.98142515,1.0150444
2.112,-1.6504884,0.86202955,1.0032008,1.0745978
2.118,-1.6444388,0.85829684,1.0252414,1.16747
2.124,-1.638187,0.85442977,1.0442183,1.2978478
2.13,-1.6321729,0.85075647,1.0719232,1.3584453
2.136,-1.6257668,0.84656082,1.0823907,1.4566154
2.142,-1.6185969,0.84158833,1.1134999,1.6333622
2.148,-1.6122668,0.83752799,1.134327,1.746014
2.154,-1.6054392,0.83252253,1.1595586,2.0218938
2.16,-1.5984314,0.82733115,1.1969128,2.3140142
2.166,-1.5916011,0.82304892,1.2073611,2.2403098
2.172,-1.5897714,0.82124666,1.5613353,2.8182432
2.178,-1.5758276,0.80975038,1.2848544,3.2288873
2.184,-1.5681331,0.80389942,1.3143318,3.3618249
2.19,-1.5610215,0.7984966,1.329423,3.4836896
2.196,-1.5524254,0.79081813,1.3837166,4.0621328
2.202,-1.5440419,0.78239187,1.4322377,4.9651904
2.208,-1.535835,0.77455067,1.4757713,6.0786519
2.214,-1.5259959,0.76376439,1.5216001,7.4175834
2.22,-1.5175273,0.75578983,1.5589709,7.4353285
2.226,-1.5067445,0.74094717,1.6552426,11.280136
2.232,-1.4968974,0.72595536,1.7512161,19.813701
2.238,-1.487108,0.71518876,1.7902625,18.468212
2.244,-1.4767327,0.70367053,1.8094889,16.864916
2.25,-1.4737404,0.69130991,2.730648,27.687298
2.256,-1.4499157,0.64533914,2.1340442,43.002752
2.262,-1.4395287,0.6256335,2.2162998,52.662579
2.268,-1.4266348,0.59874882,2.2218021,60.124155
2.274,-1.4103116,0.54694085,2.3536756,84.686001
2.28,-1.3984627,0.52899056,2.3244396,77.894231
2.286,-1.3828727,0.47403312,2.3370404,99.278559
2.292,-1.3706188,0.44393781,2.3126788,103.33814
2.298,-1.3579756,0.41176596,2.1719387,101.00937
2.304,-1.344806,0.368639,2.0799702,101.80615
2.31,-1.332996,0.33748064,1.9549179,93.59585
2.316,-1.3203673,0.30335464,1.8363781,86.390704
2.322,-1.3100969,0.27450749,1.7416843,80.898238
2.328,-1.3141165,0.29737315,2.6275596,92.007273
2.334,-1.2898746,0.22594884,1.5399011,62.890655
2.34,-1.280621,0.21065454,1.4826972,56.574813
2.346,-1.2725601,0.20206804,1.4391624,52.37308
2.352,-1.2641479,0.19088874,1.3795143,47.319665
2.358,-1.2559687,0.18041922,1.3410688,42.073084
2.364,-1.2482681,0.16742874,1.3047177,38.718563
2.37,-1.2408617,0.16479157,1.2713551,37.530363
2.376,-1.2331627,0.15355762,1.2408083,33.787983
2.382,-1.2255866,0.14759348,1.2157174,30.359861
2.388,-1.2183324,0.13757816,1.1725394,26.773183
2.394,-1.2115756,0.13127125,1.1467669,24.378748
2.4,-1.2045179,0.12502113,1.1380685,22.727473
2.25,-1.463123,0.67550624,2.000286,28.773207
2.252,-1.4611998,0.67563262,1.9741255,28.907657
2.254,-1.4546298,0.65707695,2.0852707,40.224463
2.256,-1.4515073,0.6546543,2.0178216,36.682173
2.258,-1.4473797,0.64264478,2.1417507,48.406256
2.26,-1.4433591,0.63873014,2.1617051,45.551485
2.262,-1.4371464,0.61819576,2.2189264,56.796973
2.264,-1.4321173,0.60488803,2.2839193,62.09319
2.266,-1.4310649,0.61349013,2.197773,53.43913
2.268,-1.4239533,0.58588353,2.3467988,72.580976
2.27,-1.4185144,0.57194413,2.3669119,75.565854
2.272,-1.4155122,0.56568729,2.3292575,75.389191
2.274,-1.4100085,0.54549863,2.526677,85.647756
2.276,-1.4019957,0.51613216,2.4212095,96.885743
2.278,-1.3973212,0.50508119,2.4271049,96.810252
2.28,-1.3951396,0.50423489,2.4272573,99.451384
2.282,-1.3913672,0.49684203,2.3903946,101.489
2.284,-1.3877579,0.48663457,2.3390459,100.30232
2.286,-1.3813062,0.46410553,2.3434471,106.13632
2.288,-1.3781245,0.46210282,2.3101394,100.52889
2.29,-1.374163,0.45618136,2.2891417,98.602562
2.292,-1.3681777,0.43278782,2.2890639,106.21046
2.294,-1.365055,0.42944594,2.2304619,101.46928
2.296,-1.3583428,0.39571274,2.1846756,107.00412
2.298,-1.3548835,0.39148759,2.1237275,100.53079
2.3,-1.3973899,0.52708944,2.3333132,86.315176
2.302,-1.3461462,0.36832494,2.1045858,100.96363
2.304,-1.3441332,0.37276291,2.0892134,99.914037
2.306,-1.3392562,0.35228119,1.9904381,96.054488
2.308,-1.3332495,0.32343664,1.9316525,96.326316
2.31,-1.32974,0.31847541,1.9363596,93.872201
2.312,-1.3251141,0.30244808,1.9096947,92.130546
2.314,-1.3242685,0.31488983,1.8742508,88.000083
2.316,-1.320597,0.30712008,1.8309084,85.993565
2.318,-1.31573,0.2908301,1.7517957,82.979913
2.32,-1.3134843,0.28539944,1.7436824,80.607671
2.322,-1.3096998,0.27905152,1.7506835,80.852287
2.324,-1.3056411,0.26808528,1.7134965,76.564713
2.326,-1.3078219,0.27003721,2.0135661,82.433414
2.328,-1.2995996,0.25786659,1.6247488,70.53126
2.33,-1.2957244,0.24445747,1.6048102,67.619379
2.332,-1.2929247,0.23737264,1.5784653,67.139877
2.334,-1.2892141,0.2293161,1.5479496,63.988544
2.336,-1.2858794,0.22348886,1.5337729,60.213794
2.338,-1.2839603,0.21935565,1.5123425,59.473178
2.34,-1.2810434,0.21601462,1.5108054,59.381457
2.342,-1.2776638,0.21057633,1.4566329,55.296236
2.344,-1.2746158,0.20477106,1.4449005,53.550379
2.346,-1.2711129,0.19408387,1.4170023,49.840967
2.348,-1.2681877,0.18972886,1.3889581,47.29212
2.35,-1.2664415,0.19553252,1.3927202,48.477538
