T,average energy,average magnetization,specific heat,susceptibility
2.1,-1.662713,0.86935304,0.95421746,0.91479631
2.106,-1.6565431,0.86582038,0.97655945,0.96280632
2.112,-1.6504319,0.86190135,0.99835147,1.1203338
2.118,-1.6444107,0.85813237,1.0268657,1.1892817
2.124,-1.6384727,0.85465928,1.0461896,1.2528877
2.13,-1.6321876,0.85095993,1.0601964,1.3235349
2.136,-1.6255173,0.84633561,1.0892397,1.5375063
2.142,-1.6189659,0.84210321,1.1083675,1.5722653
2.148,-1.6123371,0.83736021,1.1421755,1.9923584
2.154,-1.6059955,0.83369199,1.1487366,1.7883194
2.16,-1.5987794,0.82815894,1.1828296,2.0511688
2.166,-1.5915892,0.8225253,1.2196895,2.3830699
2.172,-1.5920341,0.82156788,1.6562751,3.4497998
2.178,-1.575842,0.8099275,1.280367,2.9434106
2.184,-1.5683272,0.80286987,1.3283195,4.8809243
2.19,-1.5601166,0.79580468,1.3718049,4.5673168
2.196,-1.5523991,0.78949401,1.3999285,5.1115134
2.202,-1.5443986,0.782726,1.4244634,5.1142769
2.208,-1.5352895,0.7735095,1.4769438,5.6914489
2.214,-1.5268196,0.76578348,1.5082113,6.3106797
2.22,-1.5175555,0.7562184,1.5523598,6.6691416
2.226,-1.508146,0.74463336,1.6226745,9.450746
2.232,-1.4965119,0.72729205,1.7402849,14.620572
2.238,-1.4875672,0.71550213,1.7855867,15.930067
2.244,-1.4765018,0.70086724,1.8567188,18.536063
2.25,-1.476709,0.69684154,2.7577445,23.574379
2.256,-1.4553187,0.66914161,1.9596533,24.98416
2.262,-1.4419288,0.64123138,2.067876,32.625577
2.268,-1.4277536,0.61049362,2.132169,39.60724
2.274,-1.4146365,0.58272868,2.1989748,47.53321
2.28,-1.4028823,0.56007065,2.2199938,50.215435
2.286,-1.3893375,0.52811381,2.2195093,55.149784
2.292,-1.3765919,0.49837184,2.181698,58.723009
2.298,-1.3628888,0.46473862,2.1163187,59.850908
2.304,-1.3503058,0.43388667,2.075797,61.027345
2.31,-1.33768,0.40815375,1.9686624,58.973675
2.316,-1.3243133,0.36658398,1.8724706,59.512511
2.322,-1.3148192,0.35183157,1.8295417,56.305281
2.328,-1.3542424,0.44131415,2.2330419,63.784888
2.334,-1.2948521,0.3114113,1.6560767,50.920058
2.34,-1.2840761,0.27977692,1.576735,47.855452
2.346,-1.2756421,0.2716401,1.5185596,44.268282
2.352,-1.2666628,0.25054308,1.4533705,40.742105
2.358,-1.2572858,0.23392052,1.3834678,36.452178
2.364,-1.2496532,0.22131059,1.3569929,34.693484
2.37,-1.2414686,0.21112222,1.3106154,32.238743
2.376,-1.2339496,0.20704384,1.2725724,29.866437
2.382,-1.2264212,0.19378066,1.2261967,27.319842
