T,average energy,average magnetization,specific heat,susceptibility
2.388,-1.2194045,0.18699505,1.1961416,25.763226
2.394,-1.2114692,0.17646654,1.1677937,23.087178
2.4,-1.2051539,0.17113682,1.1410529,22.360953
2.25,-1.4635989,0.67793166,1.9449821,24.189989
2.252,-1.4608193,0.67685458,1.9405021,22.89729
2.254,-1.4587742,0.67458069,1.9561897,24.701056
2.256,-1.4524484,0.66302354,1.9964345,26.098045
2.258,-1.4477021,0.65183927,2.0362619,29.667586
2.26,-1.443383,0.63892192,2.1248911,35.960667
2.262,-1.4400585,0.63825983,2.0495795,32.747213
2.264,-1.4340796,0.61966925,2.1658006,40.883041
2.266,-1.4312184,0.6169594,2.1523234,40.952778
2.268,-1.425534,0.60630042,2.1902339,41.356742
2.27,-1.4248293,0.61196478,2.1197341,37.74981
2.272,-1.4175399,0.58999479,2.1927727,44.178936
2.274,-1.4262519,0.60983139,2.5081468,44.171388
2.276,-1.4107953,0.57676037,2.1999198,47.463341
2.278,-1.4065246,0.56872098,2.2219535,49.409794
2.28,-1.400589,0.54897431,2.2379269,54.49966
2.282,-1.3942287,0.53238443,2.2517191,56.986494
2.284,-1.3924989,0.53684439,2.1904848,52.999858
2.286,-1.3894785,0.53002465,2.2471346,55.9355
2.288,-1.385167,0.52301175,2.1923309,55.167383
2.29,-1.3758565,0.48919792,2.1736263,59.955822
2.292,-1.3737887,0.48648595,2.1672482,60.98685
2.294,-1.3697515,0.48027837,2.1522464,59.119189
2.296,-1.365296,0.46463545,2.1291353,64.364906
2.298,-1.3599028,0.45246403,2.138148,63.779263
2.3,-1.3960577,0.54556275,2.2391237,51.752318
2.302,-1.3539271,0.44539963,2.0738028,60.242363
2.304,-1.3488302,0.42801155,2.0689058,62.149766
2.306,-1.3443042,0.41573365,2.0170966,61.784682
2.308,-1.33909,0.39995745,1.9690122,62.293953
2.31,-1.3363702,0.39598411,1.9765856,61.870371
2.312,-1.3355367,0.40467588,1.9785669,59.604295
2.314,-1.3296053,0.38368053,1.9639972,63.264021
2.316,-1.32658,0.38349574,1.9649929,61.104524
2.318,-1.3216948,0.36680615,1.8710998,58.714865
2.32,-1.3163602,0.34992794,1.8119318,57.704848
2.322,-1.3142708,0.3534989,1.8140232,57.042594
2.324,-1.3096984,0.34059882,1.7810966,55.233143
2.326,-1.3081583,0.33446872,1.8322827,56.297524
2.328,-1.3020444,0.31385573,1.7163373,54.965703
2.33,-1.3000747,0.31809797,1.7135469,52.633664
2.332,-1.2965993,0.30767754,1.6613558,51.51061
2.334,-1.2934699,0.30733058,1.6647783,50.875073
2.336,-1.289454,0.28989981,1.6312456,50.018411
2.338,-1.2862862,0.28697312,1.6023444,48.598882
2.34,-1.2830668,0.27843137,1.5582406,47.054836
2.342,-1.2792635,0.27058566,1.5457571,45.765817
2.344,-1.276756,0.270704,1.544983,45.780457
2.346,-1.2741196,0.26392466,1.5075934,44.014552
2.348,-1.2702967,0.25382648,1.4703365,41.740427
2.35,-1.2679822,0.25047792,1.457136,41.528657
